time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
2496	0	0	0	-9.421	8.279	-14.651	-0.043233	0.207912	-0.222544
2497	0	0	0	-10.852	6.248	-6.563	-0.054085	0.21416	-0.229107
2498	-0.005776	0.018814	0.048272	-8.894	3.659	-4.077	-0.062979	0.217819	-0.233184
2499	-0.031165	0.037491	0.074103	-6.131	2.099	-2.796	-0.06911	0.219918	-0.23598
2500	-0.017296	-0.002676	0.102497	-2.973	3.31	-1.235	-0.072083	0.223228	-0.237215
2501	-0.029721	0.086597	0.130927	-1.398	7.077	-0.308	-0.073481	0.230305	-0.237523
2502	-0.004858	0.043165	0.159017	-0.867	8.033	0	-0.074348	0.238338	-0.237523
2503	-0.01537	0.053846	0.190626	-0.796	7.138	0	-0.075144	0.245476	-0.237523
2504	-0.008333	0.044435	0.21704	-1.889	10.626	-0.308	-0.077033	0.256102	-0.237831
2505	-0.037489	0.061399	0.237536	-3.466	5.006	-2.119	-0.080499	0.261108	-0.23995
2506	-0.04002	0.056366	0.24645	-3.483	-0.421	-2.417	-0.083982	0.260687	-0.242367
2507	-0.030954	0.103992	0.243684	-1.413	0.731	-0.609	-0.085395	0.261418	-0.242976
2508	-0.026727	0.086872	0.246212	-0.653	-0.079	-0.304	-0.086048	0.261339	-0.24328
2509	-0.23636	0.046443	0.206574	-1.638	-2.898	-0.911	-0.087686	0.258441	-0.244191
2510	-0.227935	0.032127	0.211152	-1.644	-2.893	-0.909	-0.08933	0.255548	-0.2451
2511	-0.045354	0.055596	0.267268	0.21	-1.773	0	-0.08912	0.253775	-0.2451
2512	-0.031849	0.058961	0.277545	0.965	-2.583	0.303	-0.088155	0.251192	-0.244797
2513	-0.14824	0.012114	0.276988	0.082	-4.484	0.582	-0.088073	0.246708	-0.244215
2514	-0.14751	0.0124	0.278881	0	0	0	-0.088073	0.246708	-0.244215
2515	-0.152221	0.009857	0.279833	-1.308	-0.149	-0.605	-0.089381	0.246559	-0.24482
2516	-0.144932	0.012078	0.284536	-1.514	-0.173	0.863	-0.090895	0.246386	-0.243957
2517	-0.139249	0.012156	0.283993	-2.947	-1.234	-0.624	-0.093842	0.245152	-0.244581
2518	-0.130685	0.011544	0.281231	-3.176	-1.256	-1.501	-0.097018	0.243896	-0.246082
2519	-0.116923	0.009875	0.281072	-1.569	-3.753	-0.897	-0.098587	0.240143	-0.246979
2520	-0.116923	0.009875	0.281072	-1.383	-5.511	-0.895	-0.09997	0.234632	-0.247874
2521	-0.117561	0.011282	0.284821	-0.369	-2.717	-0.298	-0.100339	0.231915	-0.248172
2522	-0.118316	0.00823	0.289155	0.379	-3.527	0	-0.09996	0.228388	-0.248172
2523	-0.117037	0.009226	0.297615	0.373	-3.528	0	-0.099587	0.22486	-0.248172
2524	-0.115939	0.012757	0.306707	0.275	-2.646	0	-0.099312	0.222214	-0.248172
2525	-0.105788	0.014962	0.311261	-0.574	-7.189	1.745	-0.099886	0.215025	-0.246427
2526	-0.090416	0.017224	0.315222	0.178	-6.216	0.581	-0.099708	0.208809	-0.245846
2527	-0.082267	0.018032	0.316371	0.076	-5.334	0.582	-0.099632	0.203475	-0.245264
2528	-0.071368	0.018148	0.315287	-0.993	-8.097	2.323	-0.100625	0.195378	-0.242941
2529	-0.060215	0.018299	0.314298	-2.287	-3.76	3.479	-0.102912	0.191618	-0.239462
2530	-0.052046	0.018384	0.313508	-1.227	-0.997	1.737	-0.104139	0.190621	-0.237725
2531	-0.030619	0.013065	0.315263	-0.872	-0.078	1.157	-0.105011	0.190543	-0.236568
2532	-0.011822	0.011375	0.314753	-0.873	-0.077	1.157	-0.105884	0.190466	-0.235411
2533	0.004656	0.009743	0.314663	-0.796	-0.957	1.156	-0.10668	0.189509	-0.234255
2534	0.003788	-0.004876	0.317512	-1.504	-8.1	0.56	-0.108184	0.181409	-0.233695
2535	0.160031	0.030051	0.334608	-8.987	-26.291	-4.142	-0.117171	0.155118	-0.237837
2536	0.156015	0.024057	0.338242	-5.735	-34.588	-3.495	-0.122906	0.12053	-0.241332
2537	0.165172	0.014546	0.339516	-3.023	-33.359	-2.02	-0.125929	0.087171	-0.243352
2538	0.165882	0.01112	0.34209	1.423	-37.469	-1.442	-0.124506	0.049702	-0.244794
2539	0.16921	0.007722	0.344432	0.891	-26.152	-0.578	-0.123615	0.02355	-0.245372
2540	0.171067	0.00609	0.34887	2.751	-17.437	-3.469	-0.120864	0.006113	-0.248841
2541	0.199466	-0.093451	0.366531	5.668	-11.367	-7.54	-0.115196	-0.005254	-0.256381
2542	0.134101	-0.101272	0.383046	6.033	-6.162	-8.153	-0.109163	-0.011416	-0.264534
2543	0.278308	0.051099	0.402247	3.869	-0.02	-5.259	-0.105294	-0.011436	-0.269793
2544	0.179218	0.042409	0.398038	1.65	-2.65	-4.674	-0.103644	-0.014086	-0.274467
2545	0.209027	-0.00458	0.400799	-2.771	-7.017	-3.477	-0.106415	-0.021103	-0.277944
2546	0.126963	-0.00423	0.392555	-4.667	-10.483	-5.775	-0.111082	-0.031586	-0.283719
2547	0.150177	0.012931	0.370725	-4.346	-12.197	-6.341	-0.115428	-0.043783	-0.29006
2548	-0.059591	-0.006093	0.206656	-1.112	-19.241	-6.39	-0.11654	-0.063024	-0.29645
2549	0	0	0	-2.883	-20.914	-5.485	-0.119423	-0.083938	-0.301935
