time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
1368	0	0	0	-19.924	12.194	-8.922	0.006122	-0.206972	0.220051
1369	-0.01918	-0.11157	0.440488	-19.292	14.722	-7.395	-0.01317	-0.19225	0.212656
1370	-0.405722	0.271735	0.800959	-15.4	14.173	-3.351	-0.02857	-0.178077	0.209305
1371	-0.272533	0.243428	1.015358	-10.351	14.518	-2.181	-0.038921	-0.163559	0.207124
1372	-0.457229	0.012736	1.109313	-3.812	8.474	2.917	-0.042733	-0.155085	0.210041
1373	-0.313369	0.000656	1.111596	-0.109	6.376	0.476	-0.042842	-0.148709	0.210517
1374	-0.616269	0.017288	1.100897	-0.245	4.563	0.476	-0.043087	-0.144146	0.210993
1375	-0.519666	0.01973	1.096051	0.234	3.621	0	-0.042853	-0.140525	0.210993
1376	-0.496584	0.044889	1.113198	-0.529	0.943	-0.423	-0.043382	-0.139582	0.21057
1377	-0.484805	0.072938	1.151047	-1.818	-0.793	-1.27	-0.0452	-0.140375	0.2093
1378	-0.500132	0.136174	1.236912	-4.115	0.263	-2.953	-0.049315	-0.140112	0.206347
1379	-0.521331	0.219441	1.347299	-5.302	0.338	-3.78	-0.054617	-0.139774	0.202567
1380	-0.540799	0.299114	1.458308	-5.316	0.339	-3.761	-0.059933	-0.139435	0.198806
1381	-0.549187	0.356139	1.544605	-4.145	0.265	-2.911	-0.064078	-0.13917	0.195895
1382	-0.571815	0.284003	1.604516	-2.965	0.189	-2.072	-0.067043	-0.138981	0.193823
1383	-0.563469	0.29226	1.641564	-1.781	0.114	-1.241	-0.068824	-0.138867	0.192582
1384	-0.393757	0.311306	1.680455	-1.188	0.076	-0.825	-0.070012	-0.138791	0.191757
1385	-0.389533	0.306722	1.680455	0	0	0	-0.070012	-0.138791	0.191757
1386	-0.299348	0.350545	1.679918	0.056	0.894	0	-0.069956	-0.137897	0.191757
1387	-0.307128	0.322744	1.677553	0.113	1.788	0	-0.069843	-0.136109	0.191757
1388	-1.041038	0.188373	1.584632	-1.529	1.89	1.426	-0.071372	-0.134219	0.193183
1389	-1.102603	0.137618	1.624039	-2.026	2.814	1.9	-0.073398	-0.131405	0.195083
1390	-1.175331	0.355261	1.681566	-5.442	-4.141	-0.165	-0.07884	-0.135546	0.194918
1391	-1.104284	0.447367	1.824542	-7.562	-6.655	-4.037	-0.086402	-0.142201	0.190881
1392	-1.063183	0.545834	1.976528	-8.14	-5.681	-4.414	-0.094542	-0.147882	0.186467
1393	-0.951212	0.581995	2.075774	-5.254	-7.616	-1.485	-0.099796	-0.155498	0.184982
1394	-0.83501	0.577262	2.128039	-2.821	-6.881	0.136	-0.102617	-0.162379	0.185118
1395	-0.721773	0.558871	2.157772	-1.575	-6.078	0.944	-0.104192	-0.168457	0.186062
1396	-0.645177	0.546639	2.151288	0.32	-3.569	0.404	-0.103872	-0.172026	0.186466
1397	-0.59168	0.546826	2.155324	-0.214	-2.641	0	-0.104086	-0.174667	0.186466
1398	-0.591365	0.527261	2.154326	0.05	-0.004	0.876	-0.104036	-0.174671	0.187342
1399	-0.589762	0.471956	2.151546	0.147	-0.012	2.627	-0.103889	-0.174683	0.189969
1400	-0.593434	0.423795	2.160821	-0.454	0.037	2.222	-0.104343	-0.174646	0.192191
